,sy_snum,sy_pnum,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
0,2,1,93.1846,1.9238,-1.9238,4.72307,0.023,-0.023,2.282,0.34600000000000003,-0.34600000000000003,4.44038,0.0038479,-0.0038479
1,1,1,125.321,1.9765,-1.9765,5.013,0.005,-0.005,1.939,0.27,-0.27,4.5621599999999995,0.0039035,-0.0039035
2,1,1,75.4392,0.7140000000000001,-0.7140000000000001,5.231330000000002,0.023,-0.023,2.331,0.24,-0.24,4.91781,0.0028261999999999996,-0.0028261999999999996
3,1,1,17.9323,0.0073,-0.0073,6.61935,0.023,-0.023,4.714,0.016,-0.016,6.382999999999999,0.0003512,-0.0003512
4,3,1,21.1397,0.011,-0.0111,6.215,0.016,-0.016,4.651,0.016,-0.016,6.06428,0.0006029,-0.0006029
5,2,1,76.222,0.6217,-0.6217,5.51048,0.023,-0.023,3.366,0.204,-0.204,5.27476,0.0026539000000000003,-0.0026539000000000003
6,1,1,139.135,1.332,-1.307,12.618,0.069,-0.069,8.916,0.021,-0.021,12.0572,0.002275,-0.002275
7,1,1,95.9863,0.63685,-0.63685,5.59,0.001,-0.001,3.159,0.28,-0.28,5.3339,0.0019998,-0.0019998
8,1,2,72.0691,0.6854,-0.6728,6.4535,0.023,-0.023,4.285,0.016,-0.016,6.20374,0.0004976,-0.0004976
9,1,2,72.0691,0.6854,-0.6728,6.4535,0.023,-0.023,4.285,0.016,-0.016,6.20374,0.0004976,-0.0004976
10,2,1,47.2,3.1,-3.1,15.788,0.275,-0.275,9.237001,0.022,-0.022,12.9025,0.001151,-0.001151
11,1,1,33.8281,0.0864,-0.086,14.244000000000002,0.07400000000000001,-0.07400000000000001,9.198,0.026,-0.026,12.9025,0.001151,-0.001151
12,1,1,40.0896412,0.19404960000000002,-0.19404960000000002,20.15,0.19,-0.215,10.404000000000002,0.025,-0.025,15.0123,0.000624,-0.000624
13,1,1,120.42398700000001,5.4783417000000005,-5.4783417000000005,20.15,0.19,-0.215,13.161,0.025,-0.025,18.9668,0.006833,-0.006833
14,1,1,64.308,0.6569,-0.644,20.15,0.19,-0.215,11.945,0.026,-0.026,17.4076,0.002154,-0.002154
15,2,1,396.332,6.3885,-6.3885,12.651,0.215,-0.215,12.955,0.029,-0.029,12.1376,0.0036869999999999997,-0.0036869999999999997
16,1,1,33.1156898,0.4759327999999999,-0.4759327999999999,12.368,0.057,-0.057,11.826,0.031,-0.031,17.3961,0.004861,-0.004861
17,1,1,69.5737,0.1592,-0.1585,12.368,0.057,-0.057,9.148,0.018000000000000002,-0.018000000000000002,11.9484,0.000737,-0.000737
