sy_snum,sy_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,ra,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
2,1,326.03,0.32,-0.32,0.0,1.29,0.05,-0.05,0.0,12.1,,,0.0,1.08,,,0.0,6165.6,476.7,-476.7,0.0,19.4,1.5,-1.5,0.0,0.231,0.005,-0.005,0.0,,,,,,,,,0,4742.0,100.0,-100.0,0.0,19.0,2.0,-2.0,0.0,2.7,0.3,-0.3,0.0,-0.35,0.09,-0.09,0.0,2.31,0.1,-0.1,0.0,185.1787793,17.7932516,93.1846,1.9238,-1.9238,4.72307,0.023,-0.023,2.282,0.346,-0.346,4.44038,0.0038479,-0.0038479
1,1,516.21997,3.2,-3.2,0.0,1.53,0.07,-0.07,0.0,12.3,,,0.0,1.09,,,0.0,4684.8142,794.575,-794.575,0.0,14.74,2.5,-2.5,0.0,0.08,0.03,-0.03,0.0,,,,,,,,,0,4213.0,46.0,-46.0,0.0,29.79,2.84,-2.84,0.0,2.78,0.69,-0.69,0.0,-0.02,,,0.0,1.93,0.07,-0.07,0.0,229.27459539999998,71.8239428,125.321,1.9765,-1.9765,5.013,0.005,-0.005,1.939,0.27,-0.27,4.5621599999999995,0.0039035,-0.0039035
1,1,185.84,0.23,-0.23,0.0,0.83,,,0.0,12.9,,,0.0,1.15,,,0.0,1525.5,,,0.0,4.8,,,0.0,0.0,,,0.0,,,,,,,,,0,4813.0,20.0,-20.0,0.0,11.0,1.0,-1.0,0.0,2.2,0.1,-0.2,0.0,-0.24,0.03,-0.03,0.0,2.63,0.07,-0.07,0.0,352.82415,39.2358367,75.4392,0.714,-0.714,5.231330000000001,0.023,-0.023,2.331,0.24,-0.24,4.91781,0.0028261999999999996,-0.0028261999999999996
1,1,1773.40002,2.5,-2.5,0.0,2.93,0.08,-0.08,0.0,12.9,,,0.0,1.15,,,0.0,1481.0878,47.6745,-47.6745,0.0,4.66,0.15,-0.15,0.0,0.37,0.0,0.0,0.0,,,,,,,,,0,5338.0,25.0,-25.0,0.0,0.93,0.01,-0.01,0.0,0.9,0.04,-0.04,0.0,0.41,,,0.0,4.45,0.02,-0.02,0.0,242.6021014,43.816362100000006,17.9323,0.0073,-0.0073,6.61935,0.023,-0.023,4.714,0.016,-0.016,6.383,0.0003512,-0.0003512
3,1,798.5,1.0,-1.0,0.0,1.66,0.03,-0.03,0.0,13.5,,,0.0,1.2,,,0.0,565.7374,25.4264,-25.4264,0.0,1.78,0.08,-0.08,0.0,0.68,0.02,-0.02,0.0,,,,,,,,,0,5750.0,8.0,-8.0,0.0,1.13,0.01,-0.01,0.0,1.08,0.04,-0.04,0.0,0.06,,,0.0,4.36,0.01,-0.01,0.0,295.4656422,50.516824299999996,21.1397,0.011,-0.0111,6.215,0.016,-0.016,4.651,0.016,-0.016,6.06428,0.0006029,-0.0006029
2,1,993.3,3.2,-3.2,0.0,2.6,,,0.0,12.5,,,0.0,1.11,,,0.0,3273.5,,,0.0,10.3,,,0.0,0.08,0.01,-0.01,0.0,,,,,,,,,0,4979.0,18.0,-18.0,0.0,8.5,,,0.0,2.3,,,0.0,-0.052000000000000005,0.023,-0.023,0.0,2.82,0.06,-0.06,0.0,314.6078375,10.839137800000001,76.222,0.6217,-0.6217,5.51048,0.023,-0.023,3.366,0.204,-0.204,5.27476,0.0026539000000000003,-0.0026539000000000003
1,1,,,,,330.0,,,0.0,18.647000000000002,,,0.0,1.6640000000000001,,,0.0,3000.0,300.0,-300.0,0.0,8.0,1.0,-1.0,0.0,,,,,,,,,1700.0,100.0,-100.0,0.0,0,4060.0,300.0,-200.0,0.0,1.31,0.18,-0.1,0.0,0.85,0.2,-0.1,0.0,,,,,4.0,0.14,-0.1,0.0,242.37623430000002,-21.083140300000004,139.135,1.332,-1.307,12.618,0.069,-0.069,8.916,0.021,-0.021,12.0572,0.002275,-0.002275
1,1,30.3506,0.0078,-0.0077,0.0,0.19,0.012,-0.009,0.0,13.9,,,0.0,1.24,,,0.0,289.2253,41.3179,-31.783,0.0,0.91,0.13,-0.1,0.0,0.042,0.048,-0.029,0.0,,,,,,,,,0,4893.0,15.0,-15.0,0.0,10.64,0.84,-0.59,0.0,0.99,0.19,-0.13,0.0,-0.77,0.03,-0.03,0.0,2.42,0.1,-0.1,0.0,217.1555242,49.844648799999995,95.9863,0.63685,-0.63685,5.59,0.001,-0.001,3.159,0.28,-0.28,5.3339,0.0019998,-0.0019998
1,2,452.8,2.1,-4.5,0.0,1.333,0.004,-0.009,0.0,13.4,,,0.0,1.19,,,0.0,632.46,82.63,-120.77,0.0,1.99,0.26,-0.38,0.0,0.09,0.14,-0.06,0.0,,,,,,,,,0,5098.0,44.0,-44.0,0.0,4.9,0.08,-0.08,0.0,1.54,0.08,-0.08,0.0,-0.03,0.04,-0.04,0.0,3.5,0.1,-0.1,0.0,155.86848659999998,-0.9023998,72.0691,0.6854,-0.6728,6.4535,0.023,-0.023,4.285,0.016,-0.016,6.20374,0.0004976,-0.0004976
1,2,883.0,32.4,-13.8,0.0,2.08,0.05,-0.02,0.0,13.9,,,0.0,1.24,,,0.0,273.32,111.24,-69.92,0.0,0.86,0.35,-0.22,0.0,0.29,0.16,-0.09,0.0,,,,,,,,,0,5098.0,44.0,-44.0,0.0,4.9,0.08,-0.08,0.0,1.54,0.08,-0.08,0.0,-0.03,0.04,-0.04,0.0,3.5,0.1,-0.1,0.0,155.86848659999998,-0.9023998,72.0691,0.6854,-0.6728,6.4535,0.023,-0.023,4.285,0.016,-0.016,6.20374,0.0004976,-0.0004976
