,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasselim,pl_bmassj,pl_bmassjlim,pl_orbeccen,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqtlim
0,326.03,0.32,-0.32,0.0,1.29,0.0,12.1,0.336,-0.336,0.0,1.08,0.03,-0.03,0.0,6165.6,0.0,19.4,0.0,0.231,0.0,99.27,6.24,-5.76,0.0,1700.0,0.0
1,516.21997,3.2,-3.2,0.0,1.53,0.0,12.3,0.336,-0.336,0.0,1.09,0.03,-0.03,0.0,4684.8142,0.0,14.74,0.0,0.08,0.0,99.27,6.24,-5.76,0.0,1700.0,0.0
2,185.84,0.23,-0.23,0.0,0.83,0.0,12.9,0.336,-0.336,0.0,1.15,0.03,-0.03,0.0,1525.5,0.0,4.8,0.0,0.0,0.0,99.27,6.24,-5.76,0.0,1700.0,0.0
3,1773.4000199999996,2.5,-2.5,0.0,2.93,0.0,12.9,0.336,-0.336,0.0,1.15,0.03,-0.03,0.0,1481.0878,0.0,4.66,0.0,0.37,0.0,99.27,6.24,-5.76,0.0,1700.0,0.0
4,798.5,1.0,-1.0,0.0,1.66,0.0,13.5,0.336,-0.336,0.0,1.2,0.03,-0.03,0.0,565.7374,0.0,1.78,0.0,0.68,0.0,99.27,6.24,-5.76,0.0,1700.0,0.0
5,993.3,3.2,-3.2,0.0,2.6,0.0,12.5,0.336,-0.336,0.0,1.11,0.03,-0.03,0.0,3273.5,0.0,10.3,0.0,0.08,0.0,99.27,6.24,-5.76,0.0,1700.0,0.0
6,30.3506,0.0078,-0.0077,0.0,330.0,0.0,18.647000000000002,0.336,-0.336,0.0,1.6640000000000001,0.03,-0.03,0.0,3000.0,0.0,8.0,0.0,0.042,0.0,99.27,6.24,-5.76,0.0,1700.0,0.0
7,30.3506,0.0078,-0.0077,0.0,0.19,0.0,13.9,0.336,-0.336,0.0,1.24,0.03,-0.03,0.0,289.2253,0.0,0.91,0.0,0.042,0.0,99.27,6.24,-5.76,0.0,1600.0,0.0
8,452.8,2.1,-4.5,0.0,1.3330000000000002,0.0,13.4,0.336,-0.336,0.0,1.19,0.03,-0.03,0.0,632.46,0.0,1.99,0.0,0.09,0.0,99.27,6.24,-5.76,0.0,1600.0,0.0
9,883.0,32.4,-13.8,0.0,2.08,0.0,13.9,0.336,-0.336,0.0,1.24,0.03,-0.03,0.0,273.32,0.0,0.86,0.0,0.29,0.0,99.27,6.24,-5.76,0.0,1600.0,0.0
