,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim
0,4742.0,100.0,-100.0,0.0,19.0,2.0,-2.0,0.0,2.7,0.3,-0.3,0.0,-0.35,0.09,-0.09,0.0,2.31,0.1,-0.1,0.0
1,4213.0,46.0,-46.0,0.0,29.79,2.84,-2.84,0.0,2.78,0.69,-0.69,0.0,-0.02,0.03,-0.03,0.0,1.93,0.07,-0.07,0.0
2,4813.0,20.0,-20.0,0.0,11.0,1.0,-1.0,0.0,2.2,0.1,-0.2,0.0,-0.24,0.03,-0.03,0.0,2.63,0.07,-0.07,0.0
3,5338.0,25.0,-25.0,0.0,0.93,0.01,-0.01,0.0,0.9,0.04,-0.04,0.0,0.41,0.023,-0.023,0.0,4.45,0.02,-0.02,0.0
4,5750.0,8.0,-8.0,0.0,1.13,0.01,-0.01,0.0,1.08,0.04,-0.04,0.0,0.06,0.023,-0.023,0.0,4.36,0.01,-0.01,0.0
5,4979.0,18.0,-18.0,0.0,8.5,0.18,-0.1,0.0,2.3,0.2,-0.1,0.0,-0.052000000000000005,0.023,-0.023,0.0,2.82,0.06,-0.06,0.0
6,4060.0,300.0,-200.0,0.0,1.31,0.18,-0.1,0.0,0.85,0.2,-0.1,0.0,-0.77,0.03,-0.03,0.0,4.0,0.14,-0.1,0.0
7,4893.0,15.0,-15.0,0.0,10.64,0.84,-0.59,0.0,0.99,0.19,-0.13,0.0,-0.77,0.03,-0.03,0.0,2.42,0.1,-0.1,0.0
8,5098.0,44.0,-44.0,0.0,4.9,0.08,-0.08,0.0,1.54,0.08,-0.08,0.0,-0.03,0.04,-0.04,0.0,3.5,0.1,-0.1,0.0
9,5098.0,44.0,-44.0,0.0,4.9,0.08,-0.08,0.0,1.54,0.08,-0.08,0.0,-0.03,0.04,-0.04,0.0,3.5,0.1,-0.1,0.0
10,3530.0,50.0,-50.0,0.0,0.37,0.01,-0.01,0.0,0.19,0.02,-0.02,0.0,0.19,0.04,-0.04,0.0,4.86,0.0,0.0,0.0
11,3530.0,50.0,-50.0,0.0,0.37,0.01,-0.01,0.0,0.4,0.05,-0.05,0.0,0.19,0.04,-0.04,0.0,4.86,0.0,0.0,0.0
12,3064.0,76.0,-76.0,0.0,0.28,0.01,-0.01,0.0,0.11,0.01,-0.01,0.0,0.19,0.04,-0.04,0.0,4.59,0.06,-0.06,0.0
13,2825.0,157.0,-157.0,0.0,0.22,0.01,-0.01,0.0,0.02,0.02,-0.02,0.0,0.19,0.04,-0.04,0.0,5.03,0.02,-0.02,0.0
